StopID	Name	Abbreviation	LineID	SortOrder	IsEnabled	IsParkAndRide	IsCycleAndRide	ZoneCountA	ZoneCountB	Latitude	Longitude	IrishName
1	Tallaght	TAL	1	260	1	1	1	4	4	53.28749444	-6.374588889	Tamhlacht
2	Hospital	HOS	1	250	1	0	0	4	4	53.28936944	-6.37885	OspidÃ©al Thamhlachta
3	Cookstown	COO	1	240	1	0	1	4	4	53.29350556	-6.384397222	Baile an ChÃ_caigh 
4	Belgard	BEL	1	230	1	0	1	4	4	53.29928611	-6.374886111	Belgard 
5	Kingswood	KIN	1	220	1	0	1	4	4	53.30369444	-6.36525	Coill an RÃ_ 
6	Red Cow	RED	1	210	1	1	1	4	3	53.31683333	-6.369872222	An BhÃ_ Dhearg
7	Kylemore	KYL	1	200	1	0	0	3	3	53.32665556	-6.343444444	An Chill MhÃ_r
8	Bluebell	BLU	1	190	1	0	1	3	3	53.32929722	-6.333791667	An CloigÃ_n Gorm 
9	Blackhorse	BLA	1	180	1	0	0	3	3	53.33425833	-6.327394444	An Capall Dubh
10	Drimnagh	DRI	1	170	1	0	0	3	3	53.33536111	-6.318161111	Droimeanach
11	Goldenbridge	GOL	1	160	1	0	1	3	3	53.33589167	-6.313569444	An Droichead Ã“rga 
12	Suir Road	SUI	1	150	1	0	1	3	2	53.33661667	-6.307211111	BÃ_thar na SiÃºire 
13	Rialto	RIA	1	140	1	0	0	2	2	53.33790833	-6.297241667	Rialto
14	Fatima	FAT	1	130	1	0	1	2	2	53.33843889	-6.292547222	Fatima 
15	James's	JAM	1	120	1	0	0	2	2	53.34194167	-6.293361111	OspidÃ©al San SÃ©amas
16	Heuston	HEU	1	110	1	0	1	2	1	53.34664722	-6.291808333	Heuston 
17	Museum	MUS	1	100	1	0	0	1	1	53.34786667	-6.286713889	Ard-MhÃºsaem
18	Smithfield	SMI	1	90	1	0	1	1	1	53.34713333	-6.277727778	Margadh na Feirme 
19	Four Courts	FOU	1	80	1	0	0	1	1	53.34686389	-6.273436111	Na Ceithre CÃºirteanna
20	Jervis	JER	1	70	1	0	1	1	1	53.34768611	-6.265333333	Jervis 
21	Abbey Street	ABB	1	60	1	0	1	1	1	53.34858889	-6.258172222	SrÃ¡id na Mainistreach 
22	BusÃ¡ras	BUS	1	50	1	0	0	1	0	53.350075	-6.25145	BusÃ¡ras 
23	Connolly	CON	1	45	1	0	1	1	0	53.35092222	-6.249941667	Conghaile 
24	St. Stephen's Green	STS	2	10	1	0	0	1	1	53.33907222	-6.261333333	Faiche Stiabhna
25	Harcourt	HAR	2	20	1	0	1	1	1	53.33335833	-6.26265	SrÃ¡id Fhearchair 
26	Charlemont	CHA	2	30	1	0	1	2	1	53.33066944	-6.258683333	Charlemont 
27	Ranelagh	RAN	2	40	1	0	1	2	2	53.32643333	-6.256202778	Raghnallach 
28	Beechwood	BEE	2	50	1	0	1	2	2	53.32082222	-6.254652778	Coill na FeÃ¡ 
29	Cowper	COW	2	60	1	0	1	2	2	53.31646667	-6.253447222	Cowper 
30	Milltown	MIL	2	70	1	0	1	2	2	53.30991667	-6.251727778	Baile an Mhuilinn 
31	Windy Arbour	WIN	2	80	1	0	1	2	2	53.30155833	-6.250708333	Na GlasÃ¡in 
32	Dundrum	DUN	2	90	1	0	1	3	2	53.29235833	-6.245116667	DÃºn Droma 
33	Balally	BAL	2	100	1	1	1	3	3	53.28610556	-6.236772222	Baile Amhlaoibh 
34	Kilmacud	KIL	2	110	1	0	1	3	3	53.28300833	-6.223886111	Cill Mochuda 
35	Stillorgan	STI	2	120	1	1	1	3	3	53.27931111	-6.209919444	Stigh Lorgan 
36	Sandyford	SAN	2	130	1	1	1	4	3	53.27760278	-6.204677778	ÃÅth an Ghainimh 
37	Central Park	CPK	2	140	1	0	0	4	4	53.27015	-6.203763889	An PhÃ¡irc LÃ¡ir 
38	Glencairn	GLE	2	150	1	0	1	4	4	53.26633611	-6.209941667	Gleann an Chairn
39	The Gallops	GAL	2	160	1	0	1	4	4	53.26116389	-6.206022222	An Eachrais 
40	Leopardstown Valley	LEO	2	170	1	0	1	4	4	53.25824722	-6.198361111	Gleann Bhaile na Lobhar 
42	Ballyogan Wood	BAW	2	180	1	0	0	4	4	53.255047	-6.184475	Coill Bhaile UÃ_ Ã“gÃ¡in
43	Racecourse	RCC	2	190	0	0	0	5	4	53.25536667	-6.175161111	An RÃ¡schÃºrsa
44	Carrickmines	CCK	2	200	1	1	1	5	5	53.25403333	-6.169908333	Carraig Mhaighin 
45	Brennanstown	BRE	2	210	0	0	0	5	5	53.25261944	-6.161597222	Baile UÃ_ BhraonÃ¡in 
46	Laughanstown	LAU	2	220	1	0	0	5	5	53.25060556	-6.155005556	Baile an LochÃ¡in
47	Cherrywood	CHE	2	230	1	0	0	5	5	53.24533333	-6.145852778	Coill na SilÃ_nÃ_
48	Brides Glen	BRI	2	240	1	0	0	5	5	53.242075	-6.142886111	Gleann BhrÃ_de
49	Fettercairn	FET	1	280	1	0	1	4	4	53.29351885	-6.395553517	Fothair Chardain
50	Cheeverstown	CVN	1	290	1	1	1	4	4	53.29098242	-6.4068485	Baile an tSÃ_bhrigh
51	Citywest Campus	CIT	1	300	1	0	1	4	4	53.28783255	-6.418914583	Campas GnÃ_ Iarthar na Cathrach
52	Fortunestown	FOR	1	310	1	0	1	4	4	53.28425063	-6.42460165	Baile UÃ_ Fhoirtcheirn
53	Saggart	SAG	1	320	1	0	1	4	4	53.28467885	-6.43776255	Teach Sagard
54	George's Dock	GDK	1	40	1	0	0	1	0	53.349528	-6.247575	Duga Sheoirse
55	Mayor Square - NCI	MYS	1	30	1	0	0	0	0	53.34924722	-6.243394444	CearnÃ_g an MhÃ©ara - CNÃ‰
56	Spencer Dock	SDK	1	20	1	0	0	0	0	53.34882222	-6.237147222	Duga Spencer
57	The Point	TPT	1	10	1	0	0	0	0	53.34835	-6.229258333	Iosta na Rinne
58	Depot	DEP	1	580	0	0	0	1	1	53.31465833	-6.369958333	
