stopID,stopQueryTime,count,Direction,Destination,Time,AVLS,Tram,Action,Msg Sent,Msg Received,Msg Processed,XML ID,Total Lag,Create Lag,Process Lag
58,1571246940633,0,,,,,,,,,,,,,
23,1571246940660,2,Outbound,Saggart,00:01:26,00:02:06,3001,d,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.2782858,0.2626592,0.0156266
23,1571246940660,2,Outbound,Tallaght,00:16:26,00:17:06,3015,d,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.4970482,0.2626592,0.234389
48,1571246940677,2,Inbound,Parnell,00:08:26,00:09:06,5023,d,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:56,29464,1.4032829,0.6845345,0.7187484
48,1571246940677,2,Inbound,Broombridge,00:14:26,00:15:06,5012,d,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:56,29464,1.1845329,0.6845345,0.4999984
50,1571246940681,3,Inbound,Connolly,00:06:44,00:07:24,3019,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29462,0.5907847,0.3251626,0.2656221
50,1571246940681,3,Outbound,Saggart,00:05:42,00:06:22,3008,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.3251626,0.2626592,0.0625034
50,1571246940681,3,Outbound,Saggart,00:15:11,00:15:51,3026,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29462,0.7157838,0.3251626,0.3906212
3,1571246940686,4,Inbound,The Point,00:03:21,00:04:01,4009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29463,0.887658,0.3876632,0.4999948
3,1571246940686,4,Inbound,The Point,00:16:46,00:17:26,3009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.3720351,0.2626592,0.1093759
3,1571246940686,4,Outbound,Tallaght,00:06:10,00:06:50,3009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.3564107,0.2626592,0.0937515
3,1571246940686,4,Outbound,Tallaght,00:17:13,00:17:53,4006,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29463,0.8720341,0.3876632,0.4843709
44,1571246940707,4,Inbound,Parnell,00:02:59,00:03:39,5027,a,16/10/2019 18:28:58,16/10/2019 18:28:58,16/10/2019 18:28:58,29465,0.2470341,0.2157814,0.0312527
44,1571246940707,4,Inbound,Parnell,00:14:26,00:15:06,5023,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:56,29464,1.4189058,0.6845345,0.7343713
44,1571246940707,4,Outbound,Bride's Glen,00:08:03,00:08:43,5019,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:56,29464,1.3095369,0.6845345,0.6250024
44,1571246940707,4,Outbound,Bride's Glen,00:15:07,00:15:47,5016,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:56,29464,1.2626604,0.6845345,0.5781259
2,1571246940716,4,Inbound,The Point,00:01:40,00:02:20,4009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29463,0.887658,0.3876632,0.4999948
2,1571246940716,4,Inbound,The Point,00:15:05,00:15:45,3009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.3720351,0.2626592,0.1093759
2,1571246940716,4,Outbound,Tallaght,00:07:45,00:08:25,3009,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29461,0.3564107,0.2626592,0.0937515
2,1571246940716,4,Outbound,Tallaght,00:18:48,00:19:28,4006,a,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29463,0.8720341,0.3876632,0.4843709
1,1571246940722,3,Inbound,The Point,00:00:26,00:01:06,4009,d,16/10/2019 18:28:55,16/10/2019 18:28:55,16/10/2019 18:28:55,29463,0.887658,0.3876632,0.4999948
