GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TO_POP2016,TO_HOU2016,AREA_SQMET,POP_DENS,DEP_RATIO,PER_NONIRE,HO_PRE2001,HO_POS2001,PER_FLAPBE,PER_RENT,PER_VAC,PER_UNEM,PER_PROF,PER_O_OCC,PER_3ED,PER_NO3ED,AV_PER_HOU,PER_NO_INT,PER_DISAB,TO_POP2011,PER_CH_POP,TO_HOU2011,PER_CH_HOU
4c07d11e-0db0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02077,268108,North Dock B,268108026,268108026/268108027,A268108026,Small Area,922,128,2387717.8270443454,386.14,14.11,56.31,88,6,2.34,67.97,12.33,3.27,21.09,78.91,22.17,65.49,2.25,12.5,5.86,233,295.71,115,11.3
4c07d11e-0da7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02079,268118,Phoenix Park,268118001,268118001,A268118001,Small Area,462,91,1887703.820230623,244.74,136.92,13.07,78,8,53.85,76.92,18.75,4.71,23.08,76.92,21.65,68.56,2.29,1.1,59.09,574,-19.51,95,-4.21
4c07d11e-0d9f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02125,268110,Pembroke East A,268110015,268110015,A268110015,Small Area,296,101,923036.7951489288,320.68,31.56,3.75,41,52,50.5,9.9,4.67,7.47,16.83,83.17,21.74,62.32,3,4.95,10.81,278,6.47,101,0
4c07d11e-0b53-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02045,268049,Clontarf West D,268049004,268049004,A268049004,Small Area,315,143,535327.0002206198,588.43,14.55,52.32,89,9,53.15,65.49,10,9.93,19.58,80.42,43.61,45.37,2.12,16.2,13.33,241,30.71,131,9.16
4c07d11e-0b36-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02152,268148,Ushers A,268148004,268148004/01,A268148004,Small Area,207,92,425902.6661638174,486.03,8.38,40.69,27,52,78.26,88.04,15.93,3.08,46.74,53.26,72.9,13.55,2.32,3.26,3.86,242,-14.46,99,-7.07
4c07d11e-1682-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02118,268097,Mansion House B,268097001,268097001,A268097001,Small Area,626,60,381422.0546483075,1641.23,23.47,42.18,26,2,70,55,27.1,1.49,28.33,71.67,52.9,36.45,1.58,35,5.91,440,42.27,52,15.38
4c07d11e-16b2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02002,268002,Arran Quay B,268002008,268002008,A268002008,Small Area,236,60,324135.291978524,728.09,33.33,21.79,49,2,8.33,30,4.69,13.27,28.33,71.67,37.36,55.75,2.95,8.33,31.36,228,3.51,61,-1.64
4c07d11e-168f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02109,268084,Kilmainham B,268084004,268084004,A268084004,Small Area,263,129,286467.7357573686,918.08,90.58,12.55,59,49,95.35,89.92,8.51,13.71,4.65,95.35,11.32,80.5,1.96,3.1,28.52,259,1.54,129,0
4c07d11e-16b4-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02006,268006,Ashtown A,268006018,268006018,A268006018,Small Area,362,104,275835.1949855938,1312.38,103.37,9.78,91,1,29.81,40.38,10.92,7.93,23.08,76.92,32,53,2.32,2.88,36.46,394,-8.12,101,2.97
4c07d11e-1691-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02113,268092,Kimmage C,268092010,268092010,A268092010,Small Area,291,71,260223.81936658084,1118.27,84.18,25.87,57,1,28.17,54.93,6.49,4.03,21.13,78.87,33.76,59.4,2.46,1.41,27.15,289,0.69,65,9.23
4c07d11e-169e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02157,268153,Ushers F,268153009,268153009,A268153009,Small Area,1023,109,222530.25195445243,4597.13,118.12,30.14,107,0,0,30.28,3.54,3.5,32.11,67.89,15.37,75.03,2.06,1.83,40.18,1033,-0.97,100,9
4c07d11e-169d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02138,268132,Rathmines West A,268132012,268132012,A268132012,Small Area,316,98,221885.1203846319,1424.16,10.49,18.91,54,24,75.51,74.49,7.41,2.7,45.92,54.08,55.73,31.23,2.04,5.1,5.06,276,14.49,104,-5.77
4c07d11e-04c2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02117,268096,Mansion House A,268096001,268096001,A268096001,Small Area,783,23,221724.836332866,3531.4,17.92,77.61,17,1,82.61,78.26,32.35,0.28,43.48,56.52,30.81,62.5,1.87,13.04,5.24,632,23.89,33,-30.3
4c07d11e-2bbb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02147,268143,South Dock,268143024,268143024,A268143024,Small Area,341,166,215028.37125673494,1585.84,12.54,32.94,60,87,99.4,58.43,16.59,1.29,47.59,52.41,75.29,19.61,2.04,6.02,4.4,333,2.4,164,1.22
4c07d11e-28f2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02036,268036,Cabra West D,268036007,268036007/01,A268036007,Small Area,222,79,202357.45162773426,1097.07,29.82,13.06,68,1,7.59,20.25,3.66,9.6,12.66,87.34,19.75,74.07,2.68,10.13,17.57,410,-45.85,132,-40.15
4c07d11e-2d69-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02078,268109,North Dock C,268109012,268109012,A268109012,Small Area,528,117,200802.20884164496,2629.45,18.92,56.87,18,95,100,82.91,18.62,2.22,33.33,66.67,38.38,49.75,2.32,1.71,9.85,733,-27.97,164,-28.66
4c07d11e-1687-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02099,268052,Crumlin B,268052011,268052011,A268052011,Small Area,384,153,185055.9929375791,2075.05,48.84,7.03,134,1,3.27,21.57,5.52,8.38,12.42,87.58,15.55,65.37,2.53,3.27,19.53,386,-0.52,153,0
4c07d11e-16bc-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02035,268035,Cabra West C,268035011,268035011,A268035011,Small Area,293,93,184620.37569563306,1587.04,39.52,11.76,79,0,10.75,18.28,9.71,7.36,12.9,87.1,21.05,64.33,2.45,8.6,20.82,217,35.02,87,6.9
4c07d11e-2916-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02153,268149,Ushers B,268149001,268149001,A268149001,Small Area,153,64,182187.73491647,839.79,21.43,32.67,14,29,100,60.94,14.47,2.36,31.25,68.75,65.59,22.58,2.39,10.94,6.54,150,2,67,-4.48
4c07d11e-295c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02066,268080,Inns Quay A,268080010,268080010,A268080010,Small Area,1629,52,169786.96559011049,9594.38,44.41,55.92,45,0,19.23,38.46,18.75,15.83,25,75,7.1,86.45,2.38,9.62,16.82,1941,-16.07,62,-16.13
4c07d11e-168b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02129,268114,Pembroke East E,268114004,268114004,A268114004,Small Area,289,78,168951.30601097306,1710.55,44.5,23.08,61,1,33.33,41.03,19.05,2.06,56.41,43.59,67,24.5,2.65,12.82,6.57,333,-13.21,87,-10.34
4c07d11e-2d0c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02030,268030,Cabra East A,268030027,268030027,A268030027,Small Area,256,130,164055.2426657742,1560.45,65.16,13.94,89,8,37.69,56.15,14.47,4.74,10.77,89.23,20.1,65.07,1.95,10.77,29.3,239,7.11,130,0
4c07d11e-2951-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02002,268002,Arran Quay B,268002011,268002011,A268002011,Small Area,328,66,154020.53925244074,2129.59,23.77,16.62,49,0,100,89.39,25,29.18,3.03,96.97,3.18,84.09,2.68,9.09,31.1,266,23.31,81,-18.52
4c07d11e-0b35-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02079,268118,Phoenix Park,268118002,268118002,A268118002,Small Area,165,98,146941.10428116936,1122.9,34.15,23.03,65,3,86.73,72.45,17.5,16.33,13.27,86.73,27.34,56.25,1.77,19.39,23.64,178,-7.3,103,-4.85
